rank,name,country,race,year,swim,t1,bike,t2,run,overall,overall_pos,notes,bio,source,source_label,photo
1,李筱瑜,TWN,IM Frankfurt,2017,1:06:11,,5:04:00,,3:21:17,9:37:10,,,,,,
2,陳俐妘,TWN,CT,2023,1:18:29,0:06:51,4:58:15,0:03:50,3:29:34,9:56:59,,,,,,images/athletes/ChenLiYun.jpg
3,郭家齊,TWN,普悠瑪,2023,1:01:55,0:02:55,5:15:59,0:02:15,3:46:08,10:09:12,,,,,,images/athletes/KuoChiaChi.jpg
4,黃怡佳,TWN,普悠瑪,2024,1:17:14,0:06:45,5:21:33,0:07:17,3:42:17,10:35:05,,,,,,images/athletes/HuangYiJia.jpg
5,許靜怡,TWN,普悠瑪,2025,1:24:27,0:03:04,5:22:22,0:02:50,3:54:14,10:46:57,,,,,,images/athletes/HsuChingYi.jpg
6,洪筱婷,TWN,普悠瑪,2023,1:19:37,0:05:51,5:27:49,0:03:42,3:52:20,10:49:19,,,,,,
7,郭慧希,TWN,普悠瑪,2024,1:18:01,0:04:07,5:24:56,0:03:01,3:59:48,10:49:54,,,,,,images/athletes/KuoHuiHsi.jpg
8,鍾天晴,TWN,普悠瑪,2023,1:29:33,0:04:34,5:34:36,0:03:53,3:44:00,10:56:36,,,,,,
9,楊宜靜,TWN,普悠瑪,2021,1:14:38,0:04:19,5:29:09,0:02:43,4:11:37,11:02:29,,,,,,images/athletes/YangYiChing.jpg
10,徐慧安,TWN,普悠瑪,2026,1:23:17,0:10:43,5:30:46,0:06:16,3:51:51,11:02:55,,,,,,images/athletes/Hsu-2026.jpg
11,林吟霞,TWN,臺東超鐵,2022,1:13:06,0:03:03,5:50:53,0:04:10,3:55:01,11:06:13,,,,,,
12,吳依玫,TWN,IM Penghu,2026,1:12:32,0:04:59,5:52:27,0:02:45,4:00:56,11:13:39,,,,,,
13,李秀如,TWN,普悠瑪,2020,1:34:57,0:04:15,5:29:32,0:04:12,4:02:02,11:14:59,,,,,,
14,羅紹萍,TWN,IM Korea,2026,1:29:08,0:08:38,5:32:30,0:08:00,3:58:35,11:16:51,,,,,,
15,黃佩婷,TWN,普悠瑪,2026,1:27:46,0:13:04,5:45:08,0:05:57,3:50:33,11:22:30,,,,,,images/athletes/HuangPetin.jpg
16,何奕儒,TWN,普悠瑪,2026,1:18:44,0:13:08,5:52:27,0:08:36,3:56:26,11:29:24,,,,,,images/athletes/HoYiJu.jpg
17,林怡君,TWN,普悠瑪,2022,1:12:33,0:05:53,5:53:10,0:03:56,4:14:59,11:30:37,,,,,,
18,陳玉玲,TWN,普悠瑪,2020,1:34:22,0:05:02,5:38:52,0:03:39,4:15:38,11:37:34,,,,https://www.bravelog.tw/athlete/37/000278,Bravelog,images/athletes/ChenYuLing.jpg
19,李淳潔,TWN,普悠瑪,2023,1:12:25,0:03:36,6:35:09,0:04:15,3:48:41,11:44:06,,,,https://www.bravelog.tw/athlete/452/000497,Bravelog,
20,曾郁雅,TWN,CT,2026,1:35:14,0:11:58,5:57:49,0:07:18,3:52:27,11:44:48,,,,,,
21,莊雅婷,TWN,IM Taiwan,2022,1:32:55,0:07:24,5:50:49,0:04:54,4:09:25,11:45:26,,,,https://www.bravelog.tw/athlete/203/001009,Bravelog,
22,梁蘭麗,TWN,普悠瑪,2021,1:33:43,0:07:05,6:11:25,0:04:43,3:55:08,11:52:12,,,,https://www.bravelog.tw/athlete/91/000217,Bravelog,
23,陳知輿,TWN,CT,2023,1:18:40,0:08:39,6:09:26,0:06:55,4:09:05,11:52:45,,,,https://www.bravelog.tw/athlete/506/001009,Bravelog,
24,連雪涵,TWN,普悠瑪,2023,1:36:05,0:09:22,6:35:04,0:05:35,3:28:59,11:55:05,,,,https://www.bravelog.tw/athlete/452/000508,Bravelog,
25,陳明煥,TWN,普悠瑪,2020,1:21:25,0:04:34,6:08:47,0:03:06,4:18:31,11:56:25,,,,https://www.bravelog.tw/athlete/37/000296,Bravelog,
26,高玉美,TWN,普悠瑪,2023,1:19:37,0:02:35,6:07:46,0:02:33,4:26:05,11:58:36,,,,https://www.bravelog.tw/athlete/452/000536,Bravelog,
27,李宜芳,TWN,CT,2021,1:25:03,0:08:01,6:07:27,0:03:55,4:22:42,12:07:15,,,,https://www.bravelog.tw/athlete/78/000121,Bravelog,
28,陳慧菁,TWN,普悠瑪,2021,1:25:55,0:05:21,6:05:22,0:02:47,4:30:46,12:10:19,,,,https://www.bravelog.tw/athlete/91/000229,Bravelog,
29,趙瑞娟,TWN,普悠瑪,2023,1:39:48,0:07:59,6:35:27,0:03:51,3:56:38,12:23:43,,,,https://www.bravelog.tw/athlete/452/000534,Bravelog,
30,賴柏伶,TWN,CT,2023,1:31:05,0:09:10,5:55:49,0:07:31,4:41:13,12:24:48,,,,https://www.bravelog.tw/athlete/506/001010,Bravelog,
31,廖健妤,TWN,普悠瑪,2023,1:26:06,0:08:52,6:17:17,0:10:25,4:24:09,12:26:49,,,,https://www.bravelog.tw/athlete/452/000507,Bravelog,
32,蔡文雅,TWN,普悠瑪,2020,1:51:20,0:06:20,6:15:31,0:02:35,4:11:23,12:27:11,,,,https://www.bravelog.tw/athlete/37/000282,Bravelog,
