uid	date	title	matched
2019110222	2019-11-02	2019 臺東「康軒盃」 臺東超級鐵人三項 Taitung Super 3	超級鐵人
2020101730	2020-10-17	2020 臺東普悠瑪鐵人三項	普悠瑪
2020111400	2020-11-14	2020 Challenge Taiwan - 226、113	226,challenge taiwan
2021041052	2021-04-10	2021 普悠瑪鐵人三項賽 - 226、113、小鐵、迷你鐵	226,普悠瑪
2021042471	2021-04-24	2021 Challenge Taiwan - 226、113	226,challenge taiwan
2022041001	2022-04-10	IRONMAN TAIWAN 2022	ironman taiwan
2022042301	2022-04-23	Challenge Taiwan 2022 - 226km、113km	226,challenge taiwan
2023031801	2023-03-18	2023 普悠瑪鐵人三項 - 226km / 113km	226,普悠瑪
2023042201	2023-04-22	Challenge Taiwan 2023 - 226km、113km	226,challenge taiwan
2024042701	2024-04-27	2024 Challenge Taiwan	challenge taiwan
2025041303	2025-04-13	2025 IRONMAN Taiwan 澎湖國際鐵人三項賽	ironman taiwan
